Staging Ref,SPUT Staging Ref,Device Size Staging Ref,Number of Occupiers,Start Date,End Date,Average Daily Usage
100-DEF,,100mm,,01/04/2017,,0.28
HH-100-1,,100mm,1,01/04/2017,,0.19
HH-100-2,,100mm,2,01/04/2017,,0.28
HH-100-3,,100mm,3,01/04/2017,,0.41
HH-100-4,,100mm,4,01/04/2017,,0.55
HH-100-5,,100mm,5,01/04/2017,,0.69
HH-100-6,,100mm,6,01/04/2017,,0.82
HH-100-7,,100mm,7,01/04/2017,,0.95
HH-100-8,,100mm,8,01/04/2017,,1.08
HH-100-9,,100mm,9,01/04/2017,,1.21
HH-100-10,,100mm,10,01/04/2017,,1.34
HH-190-11,,100mm,11,01/04/2017,,1.47
HH-190-12,,100mm,12,01/04/2017,,1.6
HH-100-13,,100mm,13,01/04/2017,,1.73
HH-100-14,,100mm,14,01/04/2017,,1.86
HH-100-15,,100mm,15,01/04/2017,,1.99
NHH-100-BW,SPUT002,100mm,,01/04/2017,,10
NHH-100-SWW,SPUT004,100mm,,01/04/2017,,10
NHH-100-IOS,SPUT006,100mm,,01/04/2020,,10
NHH-100-WBT,SPUT008,100mm,,01/04/2022,,10
150-DEF,,150mm,,01/04/2017,,0.28
HH-150-1,,150mm,1,01/04/2017,,0.19
HH-150-2,,150mm,2,01/04/2017,,0.28
HH-150-3,,150mm,3,01/04/2017,,0.41
HH-150-4,,150mm,4,01/04/2017,,0.55
HH-150-5,,150mm,5,01/04/2017,,0.69
HH-150-6,,150mm,6,01/04/2017,,0.82
HH-150-7,,150mm,7,01/04/2017,,0.95
HH-150-8,,150mm,8,01/04/2017,,1.08
HH-150-9,,150mm,9,01/04/2017,,1.21
HH-150-10,,150mm,10,01/04/2017,,1.34
HH-150-11,,150mm,11,01/04/2017,,1.47
HH-150-12,,150mm,12,01/04/2017,,1.6
HH-150-13,,150mm,13,01/04/2017,,1.73
HH-150-14,,150mm,14,01/04/2017,,1.86
HH-150-15,,150mm,15,01/04/2017,,1.99
NHH-150-BW,SPUT002,150mm,,01/04/2017,,15
NHH-150-SWW,SPUT004,150mm,,01/04/2017,,15
NHH-150-IOS,SPUT006,150mm,,01/04/2020,,15
NHH-150-WBT,SPUT008,150mm,,01/04/2022,,15
450-DEF,,450mm,,01/04/2017,,0.28
HH-450-1,,450mm,1,01/04/2017,,0.19
HH-450-2,,450mm,2,01/04/2017,,0.28
HH-450-3,,450mm,3,01/04/2017,,0.41
HH-450-4,,450mm,4,01/04/2017,,0.55
HH-450-5,,450mm,5,01/04/2017,,0.69
HH-450-6,,450mm,6,01/04/2017,,0.82
HH-450-7,,450mm,7,01/04/2017,,0.95
HH-450-8,,450mm,8,01/04/2017,,1.08
HH-450-9,,450mm,9,01/04/2017,,1.21
HH-450-10,,450mm,10,01/04/2017,,1.34
HH-450-11,,450mm,11,01/04/2017,,1.47
HH-450-12,,450mm,12,01/04/2017,,1.6
HH-450-13,,450mm,13,01/04/2017,,1.73
HH-450-14,,450mm,14,01/04/2017,,1.86
HH-450-15,,450mm,15,01/04/2017,,1.99
NHH-450-BW,SPUT002,450mm,,01/04/2017,,45
NHH-450-SWW,SPUT004,450mm,,01/04/2017,,45
